,video,Short-term-pred,Long-term-pred,Short-term-true,Long-term-true
34,video6048.webm,0.8680724,0.7857059,0.797,0.8
35,video6049.webm,0.84027314,0.7617966,0.8320000000000001,0.4
36,video6050.webm,0.8649113,0.7829814,0.8029999999999999,0.8
37,video6051.webm,0.8308374,0.7539598,0.691,0.4
38,video6052.webm,0.84264207,0.7637942,0.8059999999999999,0.846
39,video6054.webm,0.87592494,0.7928218,0.897,0.733
40,video6055.webm,0.8606144,0.77900374,0.953,0.846
41,video6056.webm,0.8506658,0.7703954,0.684,0.813
42,video6057.webm,0.84968984,0.7695379,0.743,0.7140000000000001
43,video6058.webm,0.87177277,0.78917897,0.897,0.9229999999999999
44,video6059.webm,0.8491777,0.7691849,0.872,0.813
45,video6060.webm,0.858485,0.7771021,0.9640000000000001,0.9229999999999999
46,video6061.webm,0.8355567,0.7577023,0.721,0.833
47,video6062.webm,0.82417333,0.7491993,0.8959999999999999,0.5379999999999999
48,video6063.webm,0.8786915,0.7954643,0.893,0.769
49,video6064.webm,0.8263705,0.7503316,0.953,0.545
50,video6065.webm,0.87835884,0.7953223,0.8909999999999999,0.9
51,video6067.webm,0.8445574,0.76523495,0.9259999999999999,0.889
52,video6068.webm,0.8696127,0.7870307,0.899,0.583
53,video6069.webm,0.8274288,0.7514131,0.748,0.615
54,video6071.webm,0.84446603,0.76512367,0.831,0.7
55,video6072.webm,0.8607242,0.7793752,0.838,0.818
56,video6073.webm,0.8918085,0.80793643,0.9229999999999999,0.833
57,video6074.webm,0.845312,0.7659204,0.8079999999999999,0.7859999999999999
58,video6075.webm,0.84553486,0.76626146,0.953,0.846
59,video6076.webm,0.8491385,0.7691895,0.9590000000000001,0.846
60,video6077.webm,0.8269012,0.75097644,0.9109999999999999,0.545
61,video6079.webm,0.8369523,0.75896645,0.627,0.455
62,video6080.webm,0.8590329,0.7777065,0.892,0.889
63,video6081.webm,0.866513,0.7844008,0.883,0.75
64,video6084.webm,0.85800093,0.77683413,0.868,0.706
65,video6086.webm,0.8468292,0.76711524,0.953,0.818
66,video6087.webm,0.8744825,0.79165256,0.887,0.875
67,video6088.webm,0.83361983,0.7564336,0.8390000000000001,0.9
68,video6089.webm,0.83738446,0.7599835,0.893,0.833
69,video6091.webm,0.8440329,0.7648152,0.924,0.875
70,video6092.webm,0.8563296,0.77520937,0.752,0.909
71,video6093.webm,0.8503254,0.770112,0.8959999999999999,1.0
72,video6094.webm,0.8668647,0.7847146,0.9540000000000001,0.909
73,video6095.webm,0.86669374,0.7845105,0.805,0.667
74,video6096.webm,0.84109914,0.7623301,0.955,0.8
75,video6097.webm,0.85951346,0.777949,0.815,0.556
76,video6098.webm,0.850261,0.7701887,0.775,0.6
77,video6099.webm,0.8532579,0.77294385,0.809,0.667
78,video6100.webm,0.87649965,0.79342,0.95,0.8
79,video6102.webm,0.85511523,0.77412724,0.841,0.9
80,video6103.webm,0.8502567,0.77040285,0.986,0.731
81,video6104.webm,0.874352,0.7915966,0.894,0.8240000000000001
82,video6105.webm,0.88014156,0.796762,0.955,0.8
83,video6106.webm,0.8477485,0.7678323,0.981,0.938
84,video6107.webm,0.871487,0.7887175,0.8079999999999999,0.889
85,video6109.webm,0.8517058,0.771361,0.833,0.917
86,video6110.webm,0.8738549,0.7914024,0.807,0.6
87,video6111.webm,0.8525089,0.7723353,0.831,0.769
88,video6112.webm,0.867392,0.7850094,0.836,0.846
89,video6114.webm,0.8452537,0.76558113,0.847,0.9229999999999999
90,video6115.webm,0.85841924,0.7772062,0.672,0.667
91,video6116.webm,0.8524573,0.7720462,0.779,0.8
92,video6117.webm,0.8581662,0.77710104,0.865,0.556
93,video6119.webm,0.8431618,0.7639692,0.983,0.7859999999999999
94,video6120.webm,0.8964138,0.81261826,0.8590000000000001,0.462
95,video6121.webm,0.8639798,0.7821124,0.953,0.769
96,video6122.webm,0.8184425,0.7444029,0.654,0.4
97,video6123.webm,0.89635795,0.8126393,0.9279999999999999,0.778
98,video6126.webm,0.84899306,0.7689669,0.8290000000000001,0.9
99,video6127.webm,0.84576786,0.76621556,0.893,0.769
100,video6128.webm,0.86059725,0.77912223,0.889,0.818
101,video6129.webm,0.8529527,0.7724728,0.86,0.9229999999999999
102,video6131.webm,0.87244225,0.7899281,0.86,0.846
103,video6132.webm,0.86524165,0.783309,0.8640000000000001,0.9
104,video6133.webm,0.8809164,0.7978146,0.8390000000000001,0.6
105,video6134.webm,0.8360634,0.7582016,0.897,0.727
106,video6135.webm,0.85304856,0.7724047,0.888,0.917
107,video6136.webm,0.87048674,0.7878369,0.9229999999999999,0.9
108,video6138.webm,0.8412581,0.7624005,0.917,0.7859999999999999
109,video6139.webm,0.83207935,0.75498724,0.816,0.9
110,video6140.webm,0.8658187,0.7837746,0.92,0.833
111,video6141.webm,0.86929536,0.78691745,0.925,0.867
112,video6142.webm,0.8764175,0.7934819,0.833,0.636
113,video6143.webm,0.86957264,0.7870073,0.9229999999999999,0.7
114,video6145.webm,0.8730556,0.79010665,0.919,0.875
115,video6146.webm,0.8492049,0.76933825,0.925,0.9
116,video6148.webm,0.84398055,0.7646892,0.955,0.889
117,video6149.webm,0.8463795,0.7671329,0.9209999999999999,0.917
118,video6150.webm,0.86903155,0.7869444,0.85,0.813
119,video6151.webm,0.85269403,0.7722341,0.802,0.9229999999999999
120,video6152.webm,0.86268306,0.78090227,0.982,1.0
121,video6154.webm,0.8380264,0.7597567,0.8909999999999999,0.889
122,video6155.webm,0.8339976,0.7565356,0.833,1.0
123,video6156.webm,0.8276557,0.75140333,0.892,0.833
124,video6157.webm,0.8522948,0.7717463,0.898,0.7
125,video6158.webm,0.84786594,0.7682891,0.897,0.6
126,video6160.webm,0.8289304,0.7523871,0.8909999999999999,1.0
127,video6161.webm,0.860863,0.7791879,0.655,0.8
128,video6162.webm,0.8474567,0.7676792,0.867,0.833
129,video6163.webm,0.86038005,0.7788545,0.847,0.914
130,video6164.webm,0.85829663,0.7768347,0.951,0.9
131,video6165.webm,0.8903751,0.8067039,0.723,0.778
132,video6166.webm,0.86502,0.7829689,0.807,0.8
133,video6167.webm,0.8520533,0.7717476,0.9620000000000001,0.9229999999999999
134,video6168.webm,0.82156783,0.7467951,0.752,0.7
135,video6169.webm,0.86473334,0.78322953,0.924,0.7
136,video6170.webm,0.84801984,0.7682161,0.861,0.917
137,video6171.webm,0.87517154,0.79231226,0.865,0.727
138,video6172.webm,0.8746613,0.7917651,0.863,0.8240000000000001
139,video6173.webm,0.86609477,0.7838409,0.898,0.8
140,video6174.webm,0.84813297,0.76829433,0.8540000000000001,1.0
141,video6177.webm,0.8740985,0.7912371,0.95,1.0
142,video6178.webm,0.86303914,0.78130037,0.779,1.0
143,video6179.webm,0.8617694,0.7799827,0.773,0.909
144,video6182.webm,0.88747346,0.8039464,0.7859999999999999,0.733
145,video6183.webm,0.8638344,0.78208804,0.87,0.846
146,video6184.webm,0.85447586,0.7736063,0.898,0.9
147,video6185.webm,0.8564677,0.7753291,0.863,0.9440000000000001
148,video6186.webm,0.85172427,0.77143633,0.8959999999999999,1.0
149,video6187.webm,0.8464884,0.7670145,0.922,0.909
150,video6188.webm,0.84656274,0.7668729,0.795,0.818
151,video6189.webm,0.86311555,0.7812203,0.951,0.7859999999999999
152,video6190.webm,0.849941,0.76982456,0.92,1.0
153,video6191.webm,0.8702513,0.7878473,0.769,0.821
154,video6192.webm,0.8485211,0.7684798,0.863,0.9
155,video6194.webm,0.8563187,0.77540594,0.902,0.682
156,video6195.webm,0.86010295,0.7788407,0.919,0.733
157,video6196.webm,0.8461833,0.76664263,0.7959999999999999,0.7859999999999999
158,video6198.webm,0.864209,0.78201735,0.8109999999999999,0.643
159,video6199.webm,0.855106,0.7744781,0.789,0.778
160,video6201.webm,0.85375386,0.77319944,0.895,0.9329999999999999
161,video6203.webm,0.87873733,0.79556924,0.895,0.833
162,video6204.webm,0.87513006,0.7923262,0.9229999999999999,0.909
163,video6205.webm,0.8674284,0.78521645,0.8959999999999999,0.769
164,video6206.webm,0.85052276,0.76999366,0.805,0.636
165,video6207.webm,0.84226346,0.76317585,0.897,0.9
166,video6208.webm,0.8568791,0.7757368,0.927,0.818
167,video6209.webm,0.874046,0.7909611,0.653,0.583
168,video6210.webm,0.854699,0.773824,0.83,0.857
169,video6212.webm,0.83156717,0.7549436,0.985,0.9
170,video6213.webm,0.8389518,0.7604993,0.889,0.6
171,video6214.webm,0.86728114,0.7848987,0.7559999999999999,0.8
172,video6215.webm,0.8384687,0.760051,0.929,0.909
173,video6216.webm,0.85387826,0.77313465,0.772,0.75
174,video6218.webm,0.8533454,0.77259624,0.9229999999999999,0.8
175,video6219.webm,0.8492235,0.7692412,0.862,0.9329999999999999
176,video6221.webm,0.87297034,0.7904115,0.773,0.5710000000000001
177,video6224.webm,0.8521391,0.7716603,0.9209999999999999,0.833
178,video6225.webm,0.8039271,0.73402536,0.9079999999999999,0.72
179,video6227.webm,0.84839886,0.7685312,0.5720000000000001,0.667
180,video6230.webm,0.85334593,0.77289283,0.8290000000000001,0.7
181,video6231.webm,0.84119034,0.7623376,0.924,1.0
182,video6232.webm,0.84301686,0.7638952,0.809,0.545
183,video6233.webm,0.8182442,0.74435973,0.861,0.833
184,video6234.webm,0.8318927,0.75446844,0.9490000000000001,0.813
185,video6235.webm,0.8452139,0.7659408,0.951,0.727
186,video6236.webm,0.83398974,0.7567631,0.9229999999999999,0.9229999999999999
187,video6237.webm,0.856166,0.77507114,0.857,0.8
188,video6239.webm,0.8600572,0.7785033,0.922,0.818
189,video6240.webm,0.8513928,0.77092624,0.8690000000000001,0.8
190,video6243.webm,0.8478713,0.7679873,0.897,0.9
191,video6244.webm,0.8678943,0.78544897,0.889,0.778
192,video6245.webm,0.87599343,0.7930367,0.7659999999999999,0.846
193,video6246.webm,0.8625494,0.780755,0.836,0.846
194,video6247.webm,0.82541347,0.74972856,0.922,0.8
195,video6248.webm,0.8884969,0.80484295,0.983,0.929
196,video6250.webm,0.82634056,0.750118,0.8540000000000001,0.7859999999999999
197,video6252.webm,0.84829587,0.76839113,0.742,0.455
198,video6254.webm,0.86681235,0.7846542,0.8590000000000001,0.813
199,video6255.webm,0.8465743,0.7670667,0.863,0.5329999999999999
200,video6256.webm,0.8363433,0.7585224,0.813,0.818
201,video6257.webm,0.8848858,0.8013233,0.674,0.7
202,video6258.webm,0.8602593,0.7789216,0.8320000000000001,1.0
203,video6260.webm,0.8862846,0.8029325,0.772,1.0
204,video6261.webm,0.86080146,0.7791153,0.895,0.9229999999999999
205,video6262.webm,0.8695817,0.7870373,0.98,0.7
206,video6264.webm,0.8548535,0.7740435,0.925,1.0
207,video6265.webm,0.87654495,0.79375076,0.863,0.963
208,video6266.webm,0.88288593,0.79910684,0.956,0.857
209,video6268.webm,0.8742392,0.7909073,0.89,0.867
210,video6269.webm,0.8292269,0.7526089,0.941,0.667
211,video6270.webm,0.87195224,0.78932977,0.807,0.909
212,video6271.webm,0.82321346,0.74785674,0.91,0.833
213,video6272.webm,0.84444094,0.7650863,0.665,0.5379999999999999
214,video6275.webm,0.8811945,0.79780906,0.9229999999999999,0.769
215,video6276.webm,0.8516797,0.77150005,0.873,0.7
216,video6277.webm,0.8342811,0.75689757,0.862,0.909
217,video6278.webm,0.8731126,0.7904699,0.653,0.385
218,video6279.webm,0.81019896,0.7385507,0.87,0.941
219,video6280.webm,0.8864161,0.80300474,0.737,0.583
220,video6281.webm,0.8137405,0.74103606,0.841,0.9329999999999999
221,video6284.webm,0.8279624,0.75156856,0.84,0.7859999999999999
222,video6285.webm,0.8644453,0.78244376,0.779,0.68
223,video6286.webm,0.88700473,0.803357,0.955,0.545
224,video6288.webm,0.87470096,0.79177034,0.8959999999999999,0.727
225,video6289.webm,0.8503758,0.77027035,0.8590000000000001,0.222
226,video6290.webm,0.83896697,0.76038784,0.922,0.909
227,video6291.webm,0.8431015,0.76415443,0.925,0.75
228,video6293.webm,0.8324548,0.75540006,0.8029999999999999,0.833
229,video6294.webm,0.8591372,0.77770126,0.892,0.813
230,video6295.webm,0.86554646,0.78338337,0.693,1.0
231,video6296.webm,0.8488978,0.7691763,0.861,0.7829999999999999
232,video6297.webm,0.84882843,0.7688578,0.907,0.8
233,video6298.webm,0.84035456,0.76168203,0.8340000000000001,0.733
234,video6299.webm,0.8698868,0.7874404,0.835,1.0
235,video6303.webm,0.85131925,0.7708409,0.69,0.818
236,video6304.webm,0.8811533,0.7979913,0.89,0.833
237,video6305.webm,0.8570577,0.77597797,0.8390000000000001,0.818
238,video6306.webm,0.8906535,0.8067627,0.865,0.8
239,video6307.webm,0.86832964,0.7861333,0.866,0.8
240,video6309.webm,0.8639188,0.78211975,0.835,0.4
241,video6310.webm,0.89076,0.80710423,0.9540000000000001,0.545
242,video6311.webm,0.8653889,0.78338766,0.8759999999999999,0.708
243,video6312.webm,0.8544017,0.7736317,0.7959999999999999,0.733
244,video6313.webm,0.873394,0.790612,0.8320000000000001,1.0
245,video6315.webm,0.84788203,0.7682606,0.978,0.889
246,video6316.webm,0.8607795,0.7793426,0.925,0.909
247,video6317.webm,0.83287597,0.75552726,0.733,0.625
248,video6318.webm,0.8675525,0.78555244,0.925,0.875
249,video6319.webm,0.8791424,0.7960503,0.775,0.556
250,video6320.webm,0.85102624,0.7707102,0.935,1.0
251,video6321.webm,0.8599949,0.7783216,0.7440000000000001,0.846
252,video6322.webm,0.84546614,0.76601803,0.862,0.8
253,video6323.webm,0.87593067,0.79312253,0.8909999999999999,0.6
254,video6324.webm,0.8459873,0.76640344,0.809,0.556
255,video6325.webm,0.8453909,0.7658975,0.828,0.882
256,video6326.webm,0.8550741,0.7741426,0.86,0.6
257,video6328.webm,0.804106,0.7341869,0.845,0.818
258,video6329.webm,0.839705,0.76112586,0.685,0.5
259,video6330.webm,0.83909154,0.7605653,0.925,0.929
260,video6331.webm,0.86704624,0.7850066,0.953,0.8
261,video6332.webm,0.85198176,0.7720958,0.8640000000000001,0.583
262,video6333.webm,0.8137405,0.74103606,0.7659999999999999,0.9
263,video6335.webm,0.8338611,0.756239,0.638,0.591
264,video6336.webm,0.8757458,0.7926566,0.866,0.733
265,video6337.webm,0.8577788,0.77658194,0.924,0.917
266,video6338.webm,0.84940815,0.76928174,0.8690000000000001,0.818
267,video6339.webm,0.84189165,0.7634572,0.951,0.917
268,video6340.webm,0.84499484,0.7661922,0.8909999999999999,0.778
269,video6342.webm,0.8724313,0.7894496,0.878,0.6
270,video6343.webm,0.8277259,0.751488,0.95,0.81
271,video6344.webm,0.8914786,0.8081264,0.8290000000000001,0.556
272,video6346.webm,0.8432735,0.7642137,0.8029999999999999,0.889
273,video6347.webm,0.8751947,0.7925594,0.8009999999999999,0.8
274,video6348.webm,0.86313635,0.78139067,0.868,0.9
275,video6349.webm,0.87924516,0.7958226,0.8340000000000001,0.7859999999999999
276,video6350.webm,0.84758705,0.7678293,0.8640000000000001,0.9
277,video6351.webm,0.8579376,0.7766801,0.812,0.9229999999999999
278,video6352.webm,0.8344669,0.75684166,0.83,0.455
279,video6353.webm,0.8753395,0.7925476,0.9520000000000001,0.875
280,video6354.webm,0.8550741,0.7741426,0.927,0.75
281,video6356.webm,0.8442471,0.76529336,0.687,0.25
282,video6357.webm,0.8704648,0.7879212,0.982,1.0
283,video6358.webm,0.824376,0.7487969,0.892,1.0
284,video6359.webm,0.83333266,0.75579655,0.745,0.5329999999999999
285,video6361.webm,0.85096955,0.7708828,0.765,0.667
286,video6362.webm,0.80537224,0.7350225,0.8079999999999999,1.0
287,video6363.webm,0.8913877,0.8075729,0.955,0.9
288,video6366.webm,0.8267331,0.75052965,0.8270000000000001,0.636
289,video6368.webm,0.89207804,0.8082886,0.8909999999999999,1.0
290,video6370.webm,0.8125986,0.7402233,0.843,1.0
291,video6373.webm,0.84438324,0.7651048,0.8370000000000001,0.647
292,video6376.webm,0.8600291,0.7784865,0.9540000000000001,0.583
293,video6377.webm,0.87094957,0.78841746,0.917,0.833
294,video6378.webm,0.8596915,0.7782341,0.9840000000000001,0.833
295,video6379.webm,0.8553562,0.77441645,0.8640000000000001,0.273
296,video6380.webm,0.839581,0.7618964,0.897,0.667
297,video6381.webm,0.8461288,0.7666033,0.9179999999999999,0.7
298,video6382.webm,0.85187227,0.7714548,0.774,0.889
299,video6385.webm,0.81136745,0.73933315,0.927,1.0
300,video6386.webm,0.886555,0.8030296,0.87,0.733
301,video6387.webm,0.87638694,0.79326093,0.919,1.0
302,video6388.webm,0.82253695,0.74745136,0.797,0.308
303,video6390.webm,0.8680856,0.7855959,0.816,0.9
304,video6391.webm,0.8138784,0.7410066,0.895,0.727
305,video6392.webm,0.88322806,0.7996539,0.7959999999999999,0.833
306,video6393.webm,0.8723711,0.7895491,0.863,0.583
307,video6395.webm,0.86148214,0.77981746,0.8240000000000001,0.778
308,video6396.webm,0.83057344,0.7538067,0.772,0.727
309,video6397.webm,0.84562194,0.76609975,0.831,0.769
310,video6398.webm,0.809574,0.73791254,0.922,0.778
311,video6399.webm,0.8685646,0.78604835,0.867,0.882
312,video6400.webm,0.8609215,0.779343,0.922,0.7140000000000001
313,video6401.webm,0.8721862,0.7895251,0.597,0.545
314,video6402.webm,0.8905957,0.8069258,0.95,0.846
315,video6403.webm,0.8511601,0.7710602,0.861,0.909
316,video6404.webm,0.84728074,0.767535,0.924,1.0
317,video6406.webm,0.8349153,0.7574948,0.873,0.885
318,video6407.webm,0.8626122,0.78092444,0.698,0.733
319,video6408.webm,0.84083605,0.7623069,0.893,0.818
320,video6409.webm,0.8526367,0.7721101,0.9259999999999999,0.818
321,video6410.webm,0.870123,0.7872127,0.9229999999999999,0.7
322,video6412.webm,0.8899214,0.80627954,0.924,0.778
323,video6413.webm,0.85409206,0.77363545,0.7959999999999999,0.765
324,video6415.webm,0.88276756,0.7992977,0.7979999999999999,0.889
325,video6416.webm,0.84891963,0.7689413,0.866,0.909
326,video6418.webm,0.8184279,0.74436456,0.92,0.75
327,video6419.webm,0.8540489,0.7733311,0.9520000000000001,0.733
328,video6420.webm,0.87245613,0.7895498,0.9259999999999999,0.909
329,video6421.webm,0.8762121,0.79272395,0.981,0.75
330,video6422.webm,0.87272125,0.7899296,0.895,0.6
331,video6423.webm,0.8236525,0.7481952,0.721,0.6
332,video6425.webm,0.83856297,0.7604156,0.9229999999999999,0.8
333,video6426.webm,0.827188,0.7510607,0.89,0.8240000000000001
334,video6427.webm,0.8700543,0.7874914,0.86,0.882
335,video6429.webm,0.83145404,0.75441885,0.9209999999999999,0.9229999999999999
336,video6431.webm,0.83017504,0.7533895,0.802,0.41700000000000004
337,video6432.webm,0.85944414,0.77803767,0.865,0.684
338,video6433.webm,0.8844443,0.8010085,0.78,0.5
339,video6434.webm,0.84437233,0.7655499,0.8029999999999999,0.6
340,video6436.webm,0.83171034,0.7548022,0.956,0.778
341,video6437.webm,0.86831635,0.78582186,0.7,0.909
342,video6438.webm,0.83914256,0.7609137,0.782,0.75
343,video6439.webm,0.8508451,0.7704954,0.8909999999999999,0.75
344,video6440.webm,0.88226974,0.79880214,0.889,0.818
345,video6441.webm,0.85388964,0.7732012,0.713,0.625
346,video6442.webm,0.86026204,0.77915287,0.799,0.889
347,video6444.webm,0.858335,0.7771374,0.866,0.727
348,video6446.webm,0.8461873,0.7665992,0.9209999999999999,0.889
349,video6447.webm,0.8428071,0.76356834,0.8490000000000001,0.889
350,video6448.webm,0.8247959,0.7495419,0.867,0.778
351,video6450.webm,0.8936324,0.8098736,0.7659999999999999,0.636
352,video6452.webm,0.8918072,0.80801004,0.983,0.833
353,video6453.webm,0.84597385,0.7664252,0.866,0.867
354,video6454.webm,0.84214467,0.76281667,0.805,0.4
355,video6456.webm,0.84281576,0.76414305,0.92,0.9
356,video6457.webm,0.87532085,0.79226696,0.892,0.8
357,video6458.webm,0.8621999,0.78062,0.888,0.9
358,video6460.webm,0.815815,0.7424988,0.866,0.636
359,video6461.webm,0.86718535,0.78496754,0.835,1.0
360,video6462.webm,0.8813425,0.798004,0.897,1.0
361,video6463.webm,0.8431556,0.76392925,0.6629999999999999,0.7
362,video6465.webm,0.8417839,0.76283073,0.809,0.792
363,video6466.webm,0.8391869,0.7609163,0.8290000000000001,0.667
364,video6467.webm,0.8870958,0.8034843,0.925,0.643
365,video6470.webm,0.8804138,0.7971859,0.9079999999999999,0.9229999999999999
366,video6473.webm,0.8554565,0.774386,0.8029999999999999,0.778
367,video6474.webm,0.83366954,0.75617015,0.937,0.889
368,video6475.webm,0.84466994,0.765434,0.664,0.636
369,video6476.webm,0.8494713,0.76942694,0.8859999999999999,0.6
370,video6477.webm,0.8390403,0.76064444,0.955,0.9
371,video6478.webm,0.82812905,0.7519576,0.865,1.0
372,video6479.webm,0.8726014,0.7900517,0.8420000000000001,0.818
373,video6480.webm,0.8489995,0.76885664,0.953,0.769
374,video6481.webm,0.8322244,0.75504935,0.8909999999999999,0.727
375,video6483.webm,0.8443488,0.76501215,0.953,0.6
376,video6484.webm,0.8358629,0.75777936,0.9490000000000001,0.7859999999999999
377,video6485.webm,0.84076655,0.7618345,0.925,0.545
378,video6486.webm,0.85585296,0.77520996,0.9229999999999999,1.0
379,video6488.webm,0.8172414,0.7435033,0.89,0.625
380,video6489.webm,0.8218726,0.74671423,0.865,0.727
381,video6491.webm,0.84752333,0.76796234,0.89,1.0
382,video6492.webm,0.842775,0.7640655,0.922,0.778
383,video6493.webm,0.8785609,0.795647,0.838,1.0
384,video6494.webm,0.8170001,0.74346954,0.809,0.778
385,video6496.webm,0.8608639,0.77934945,0.715,0.545
386,video6498.webm,0.8460368,0.76676834,0.924,0.818
387,video6499.webm,0.8801839,0.7970501,0.95,0.833
388,video6501.webm,0.8544144,0.7736869,0.87,0.8
389,video6502.webm,0.8179364,0.7441355,0.898,0.9
390,video6503.webm,0.8586086,0.7773973,0.773,0.882
391,video6504.webm,0.8373624,0.7591585,0.8390000000000001,0.833
392,video6505.webm,0.852065,0.7716445,0.833,0.667
393,video6506.webm,0.8836417,0.80028534,0.8320000000000001,0.529
394,video6507.webm,0.8789808,0.79600614,0.955,1.0
395,video6508.webm,0.8682669,0.7857327,0.951,0.9
396,video6509.webm,0.8463179,0.76660454,0.752,0.7
397,video6510.webm,0.8150629,0.74190235,0.863,0.8240000000000001
398,video6512.webm,0.8259928,0.75015163,0.893,0.818
399,video6515.webm,0.85763943,0.7763804,0.95,0.833
400,video6516.webm,0.84921104,0.76925623,0.882,1.0
401,video6517.webm,0.7986814,0.7301084,0.917,0.769
402,video6518.webm,0.82753825,0.7515365,0.8059999999999999,0.857
403,video6519.webm,0.83623105,0.7583167,0.743,0.5
404,video6521.webm,0.8611274,0.7792644,0.804,0.737
405,video6523.webm,0.8288002,0.75244176,0.865,0.8
406,video6524.webm,0.856091,0.7753593,0.915,0.778
407,video6525.webm,0.8509846,0.77089334,0.922,0.6
408,video6526.webm,0.8107634,0.73905665,0.7340000000000001,0.583
409,video6527.webm,0.844232,0.7650629,0.927,0.778
410,video6528.webm,0.8242553,0.74871075,0.804,0.8
411,video6530.webm,0.8533632,0.7727269,0.8490000000000001,0.75
412,video6531.webm,0.87558675,0.79219073,0.867,0.733
413,video6532.webm,0.86210465,0.780198,0.8390000000000001,0.8
414,video6533.webm,0.8399346,0.76161253,0.8340000000000001,0.6920000000000001
415,video6534.webm,0.8375071,0.7591645,0.772,0.727
416,video6535.webm,0.8441359,0.764823,0.9570000000000001,0.917
417,video6536.webm,0.8888446,0.8051535,0.8809999999999999,0.5710000000000001
418,video6537.webm,0.85558903,0.7747483,0.9229999999999999,0.6
419,video6538.webm,0.82229567,0.7470623,0.737,0.9329999999999999
420,video6539.webm,0.8286618,0.75195885,0.982,1.0
421,video6540.webm,0.8905957,0.8069258,0.865,0.917
422,video6541.webm,0.8965467,0.81261295,0.927,0.909
423,video6542.webm,0.8249421,0.7491224,0.927,0.867
424,video6543.webm,0.8889098,0.80530274,0.953,0.9329999999999999
425,video6544.webm,0.8765644,0.7937783,0.7979999999999999,0.667
426,video6545.webm,0.84172964,0.7630068,0.95,0.8
427,video6546.webm,0.86074597,0.77914834,0.897,0.818
428,video6547.webm,0.853011,0.77260137,0.7979999999999999,0.905
429,video6550.webm,0.83679533,0.7588395,0.8440000000000001,0.5
430,video6551.webm,0.8742392,0.7909073,0.835,0.7859999999999999
431,video6552.webm,0.8717804,0.7892833,0.9229999999999999,0.818
432,video6554.webm,0.8558495,0.7748505,0.8290000000000001,0.9
433,video6555.webm,0.8647311,0.78257734,0.887,0.9
434,video6556.webm,0.8539779,0.7734798,0.862,0.9
435,video6557.webm,0.85937345,0.7780627,0.937,0.909
436,video6558.webm,0.86513615,0.782987,0.894,0.7
437,video6559.webm,0.841002,0.7622515,0.953,0.8
438,video6560.webm,0.84657764,0.76701105,0.843,0.652
439,video6561.webm,0.889184,0.8052747,0.893,0.9329999999999999
440,video6562.webm,0.8409607,0.7625924,0.7979999999999999,0.7140000000000001
441,video6563.webm,0.84331656,0.76425165,0.9259999999999999,0.909
442,video6564.webm,0.8467082,0.7670132,0.92,0.556
443,video6565.webm,0.84467435,0.7655627,0.6709999999999999,0.7140000000000001
444,video6566.webm,0.8484719,0.76847124,0.8420000000000001,0.5
445,video6567.webm,0.85466886,0.77369535,0.818,0.5379999999999999
446,video6568.webm,0.8884868,0.8047657,0.892,0.706
447,video6569.webm,0.87001187,0.7873282,0.867,0.727
448,video6570.webm,0.83895373,0.7606318,0.925,0.846
449,video6572.webm,0.8659217,0.7834805,0.9229999999999999,0.769
450,video6573.webm,0.88525677,0.8021621,0.9840000000000001,0.727
